index|cisp|mes|ano|aisp|risp|munic|mcirc|regiao|hom_doloso|lesao_corp_morte|latrocinio|cvli|hom_por_interv_policial|feminicidio|letalidade_violenta|tentat_hom|tentativa_feminicidio|lesao_corp_dolosa|estupro|hom_culposo|lesao_corp_culposa|roubo_transeunte|roubo_celular|roubo_em_coletivo|roubo_rua|roubo_veiculo|roubo_carga|roubo_comercio|roubo_residencia|roubo_banco|roubo_cx_eletronico|roubo_conducao_saque|roubo_apos_saque|roubo_bicicleta|outros_roubos|total_roubos|furto_veiculos|furto_transeunte|furto_coletivo|furto_celular|furto_bicicleta|outros_furtos|total_furtos|sequestro|extorsao|sequestro_relampago|estelionato|apreensao_drogas|posse_drogas|trafico_drogas|apreensao_drogas_sem_autor|recuperacao_veiculos|apf|aaapai|cmp|cmba|ameaca|pessoas_desaparecidas|encontro_cadaver|encontro_ossada|pol_militares_mortos_serv|pol_civis_mortos_serv|total|ano_mes|mes_char|risp_desc|pol_mortos_serv|unidade_territorial|municipio|regiao_de_governo|data|dias_no_ano
35533|1|1|2025|5|1|Rio de Janeiro|330455|Capital|0|0|0|0|0|0.0|0|0|0.0|11|1|0|7|47|23|7|77|3|1|1|0|0|0.0|0|0|0.0|3|85|0|85|20|176|3.0|85|369|0|2|0|101|1|0.0|1.0|0.0|2|97.0|2.0|12.0|2.0|12|2|0|0|0|0|777|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Centro (parte)|Rio de Janeiro|Metropolitana|2025-01-01|365
35534|4|1|2025|5|1|Rio de Janeiro|330455|Capital|0|2|0|2|0|1.0|3|0|0.0|22|2|1|12|42|19|19|80|3|0|3|1|0|1.0|0|0|1.0|6|95|4|57|40|113|1.0|84|299|0|0|0|42|9|1.0|7.0|1.0|2|15.0|10.0|10.0|4.0|15|5|0|0|0|0|699|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Centro (parte); Gamboa; Santo Cristo e Saúde|Rio de Janeiro|Metropolitana|2025-01-01|365
35535|5|1|2025|5|1|Rio de Janeiro|330455|Capital|1|0|0|1|0|0.0|1|3|0.0|70|5|0|16|117|71|8|196|9|1|3|0|0|0.0|0|0|1.0|12|222|14|88|7|289|8.0|206|612|0|5|0|158|12|3.0|9.0|0.0|5|45.0|7.0|23.0|6.0|46|5|1|0|0|0|1515|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Centro (parte); Lapa e Paquetá|Rio de Janeiro|Metropolitana|2025-01-01|365
35536|6|1|2025|4|1|Rio de Janeiro|330455|Capital|2|0|0|2|0|0.0|2|2|0.0|40|0|3|48|23|11|17|51|23|4|1|0|0|0.0|0|0|1.0|13|93|15|12|17|59|1.0|67|171|0|1|0|41|5|1.0|2.0|2.0|32|22.0|8.0|6.0|2.0|21|2|1|0|0|0|628|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Catumbi; Cidade Nova; Estácio; Rio Comprido e Centro (parte)|Rio de Janeiro|Metropolitana|2025-01-01|365
35537|7|1|2025|5|1|Rio de Janeiro|330455|Capital|0|1|0|1|0|0.0|1|1|0.0|18|0|0|2|30|8|3|41|3|1|0|1|0|0.0|0|0|0.0|5|51|10|8|0|9|0.0|48|75|0|3|0|30|5|0.0|3.0|2.0|11|10.0|0.0|0.0|0.0|20|0|0|0|0|0|306|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Santa Teresa|Rio de Janeiro|Metropolitana|2025-01-01|365
35538|9|1|2025|2|1|Rio de Janeiro|330455|Capital|1|0|1|2|1|0.0|3|0|1.0|38|3|2|13|146|74|12|232|24|1|3|1|0|0.0|0|2|9.0|11|283|26|122|12|348|16.0|149|673|0|2|0|166|4|1.0|2.0|1.0|5|19.0|6.0|10.0|0.0|39|1|1|0|0|0|1642|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Catete; Cosme Velho; Flamengo; Glória e Laranjeiras|Rio de Janeiro|Metropolitana|2025-01-01|365
35539|10|1|2025|2|1|Rio de Janeiro|330455|Capital|0|0|0|0|0|0.0|0|1|0.0|37|5|2|25|70|82|8|160|19|2|3|2|0|0.0|0|0|4.0|20|210|18|24|22|147|16.0|219|446|0|7|0|140|3|2.0|0.0|1.0|1|23.0|15.0|1.0|2.0|23|2|0|0|0|0|1195|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Botafogo; Humaitá e Urca|Rio de Janeiro|Metropolitana|2025-01-01|365
35540|11|1|2025|23|1|Rio de Janeiro|330455|Capital|1|0|0|1|0|0.0|1|0|0.0|8|4|0|0|1|0|0|1|0|0|0|0|0|0.0|0|0|0.0|0|1|2|1|1|4|0.0|5|13|0|3|0|26|0|0.0|0.0|0.0|0|5.0|0.0|1.0|0.0|13|0|0|0|0|0|111|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Rocinha|Rio de Janeiro|Metropolitana|2025-01-01|365
35541|12|1|2025|19|1|Rio de Janeiro|330455|Capital|1|0|0|1|0|0.0|1|0|0.0|58|1|0|17|36|18|3|57|0|1|0|1|0|0.0|0|0|1.0|5|65|22|132|12|338|25.0|235|764|0|7|0|236|7|7.0|0.0|0.0|1|32.0|13.0|6.0|7.0|48|12|0|0|0|0|1593|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Copacabana (parte) e Leme|Rio de Janeiro|Metropolitana|2025-01-01|365
35542|13|1|2025|19|1|Rio de Janeiro|330455|Capital|0|0|0|0|0|0.0|0|0|0.0|23|3|0|3|14|8|0|22|0|0|0|1|0|0.0|0|0|1.0|3|27|18|94|6|119|14.0|132|383|0|0|0|92|4|2.0|2.0|0.0|2|8.0|1.0|2.0|3.0|17|5|0|0|0|0|789|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Copacabana (parte)|Rio de Janeiro|Metropolitana|2025-01-01|365
35543|14|1|2025|23|1|Rio de Janeiro|330455|Capital|0|1|0|1|0|0.0|1|0|0.0|26|3|0|4|29|27|3|59|0|0|2|2|0|0.0|0|0|3.0|11|77|33|60|3|177|65.0|246|584|0|6|0|218|11|5.0|5.0|1.0|0|39.0|6.0|7.0|3.0|24|10|0|0|0|0|1274|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Ipanema e Leblon|Rio de Janeiro|Metropolitana|2025-01-01|365
35544|15|1|2025|23|1|Rio de Janeiro|330455|Capital|0|0|0|0|0|0.0|0|0|0.0|19|1|0|13|21|19|0|40|5|0|0|1|0|0.0|0|0|1.0|8|55|15|16|11|49|9.0|100|200|0|2|0|152|5|5.0|0.0|0.0|8|25.0|3.0|1.0|0.0|16|1|0|0|0|0|674|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Gávea; Jardim Botânico; Lagoa; São Conrado e Vidigal|Rio de Janeiro|Metropolitana|2025-01-01|365
35545|16|1|2025|31|2|Rio de Janeiro|330455|Capital|1|0|0|1|3|0.0|4|2|1.0|101|8|7|61|89|43|15|147|4|0|3|1|0|0.0|0|1|1.0|39|196|74|37|54|223|19.0|314|721|0|5|0|445|15|5.0|11.0|1.0|7|97.0|36.0|15.0|13.0|92|12|0|0|0|0|2417|2025-01|Janeiro|Capital (Zona Oeste e parte da Norte)|0|Barra da Tijuca; Itanhangá; Joá|Rio de Janeiro|Metropolitana|2025-01-01|365
35546|17|1|2025|4|1|Rio de Janeiro|330455|Capital|2|0|0|2|1|0.0|3|0|0.0|30|3|1|24|39|18|21|78|30|4|1|0|0|0.0|0|0|0.0|23|136|9|12|7|31|1.0|139|199|0|2|0|82|12|3.0|6.0|3.0|18|25.0|1.0|11.0|2.0|28|5|0|0|0|0|801|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Caju; Mangueira; São Cristóvão e Vasco da Gama|Rio de Janeiro|Metropolitana|2025-01-01|365
35547|18|1|2025|6|1|Rio de Janeiro|330455|Capital|0|0|0|0|0|0.0|0|0|0.0|10|3|1|24|83|65|30|178|30|1|3|0|0|0.0|0|0|1.0|13|226|7|26|31|70|4.0|101|239|0|4|0|77|5|1.0|1.0|3.0|1|19.0|2.0|1.0|1.0|11|2|0|0|0|0|862|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Maracanã; Praça da Bandeira e Tijuca (parte)|Rio de Janeiro|Metropolitana|2025-01-01|365
35548|19|1|2025|6|1|Rio de Janeiro|330455|Capital|0|0|0|0|0|0.0|0|3|0.0|39|3|1|23|60|67|6|133|28|1|5|0|0|0.0|0|1|0.0|6|174|11|24|36|49|3.0|158|281|0|4|0|172|2|1.0|1.0|0.0|12|29.0|0.0|6.0|3.0|31|4|1|0|0|0|1047|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Alto da Boa Vista e Tijuca (parte)|Rio de Janeiro|Metropolitana|2025-01-01|365
35549|20|1|2025|6|1|Rio de Janeiro|330455|Capital|1|0|0|1|0|0.0|1|1|1.0|46|0|1|12|36|17|7|60|26|1|1|1|0|0.0|0|0|1.0|12|102|2|12|23|19|3.0|110|169|0|5|0|129|1|0.0|1.0|0.0|6|18.0|1.0|2.0|1.0|30|3|0|0|0|0|788|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Andaraí; Grajaú e Vila Isabel|Rio de Janeiro|Metropolitana|2025-01-01|365
35550|21|1|2025|22|1|Rio de Janeiro|330455|Capital|8|0|0|8|5|0.0|13|22|0.0|84|8|4|56|46|32|29|107|94|27|5|2|0|0.0|0|1|0.0|27|263|24|13|25|48|4.0|168|282|0|11|0|238|23|9.0|7.0|7.0|124|47.0|0.0|37.0|1.0|59|18|2|0|0|0|1518|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Benfica; Bonsucesso; Higienópolis; Manguinhos; Maré e Ramos|Rio de Janeiro|Metropolitana|2025-01-01|365
35551|22|1|2025|16|1|Rio de Janeiro|330455|Capital|8|0|0|8|2|0.0|10|0|0.0|63|4|1|39|32|14|13|59|61|8|0|0|0|0.0|1|0|0.0|15|144|30|7|6|15|2.0|64|124|0|0|0|89|10|1.0|7.0|2.0|65|19.0|2.0|0.0|0.0|48|5|0|0|0|0|776|2025-01|Janeiro|Capital (Zona Sul, Centro e parte da Norte)|0|Brás de Pina (parte); Olaria; Penha e Penha Circular (parte)|Rio de Janeiro|Metropolitana|2025-01-01|365
