ano;total;letalidade_violenta;hom_doloso;total_roubos;roubo_veiculo;furto_veiculos;roubo_rua;roubo_carga;latrocinio;feminicidio;apreensao_drogas;pol_mortos_serv;estelionato;hom_por_interv_policial;lesao_corp_morte;apf;aaapai;roubo_transeunte;roubo_celular;recuperacao_veiculos;furto_transeunte;furto_coletivo;furto_celular;total_ant;letalidade_violenta_ant;hom_doloso_ant;roubos_ant;roubo_veiculo_ant;roubo_rua_ant;roubo_carga_ant;latrocinio_ant;feminicidio_ant;estelionato_ant;apreensao_drogas_ant;pol_mortos_serv_ant;hom_por_interv_policial_ant;lesao_corp_morte_ant;apf_ant;aaapai_ant;roubo_transeunte_ant;roubo_celular_ant;furto_veiculos_ant;recuperacao_veiculos_ant;dif_total;dif_letalidade_violenta;dif_hom_doloso;dif_roubos;dif_roubo_veiculo;dif_roubo_rua;dif_roubo_carga;dif_latrocinio;dif_feminicidio;dif_estelionato;dif_apreensao_drogas;dif_pol_mortos_serv;dif_hom_por_interv_policial;dif_lesao;dif_apf;dif_aaapai;dif_rtranseunte;dif_rcelular;dif_furto_veiculos;dif_recuperacao_veiculos;var_total;var_letalidade_violenta;var_hom_doloso;var_roubos;var_roubo_veiculo;var_roubo_rua;var_roubo_carga;var_latrocinio;var_feminicidio;var_estelionato;var_apreensao_drogas;var_pol_mortos_serv;var_hom_por_interv_policial;var_lesao;var_apf;var_aaapai;var_rtranseunte;var_rcelular;var_furto_veiculos;var_recup_veiculos
2003;536163,0;8054,0;6624,0;118834,0;33531,0;19942,0;36669,0;4073,0;179,0;0,0;13350,0;50,0;10715,0;1195,0;56,0;0,0;0,0;17884,0;12760,0;29947,0;9683,0;511,0;7302,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2004;550262,0;7645,0;6438,0;110903,0;32408,0;19449,0;39836,0;4714,0;185,0;0,0;12007,0;50,0;12584,0;983,0;39,0;0,0;0,0;22256,0;11084,0;26522,0;9235,0;1942,0;9579,0;536163,0;8054,0;6624,0;118834,0;33531,0;36669,0;4073,0;179,0;0,0;10715,0;13350,0;50,0;1195,0;56,0;0,0;0,0;17884,0;12760,0;19942,0;29947,0;14099,0;-409,0;-186,0;-7931,0;-1123,0;3167,0;641,0;6,0;0,0;1869,0;-1343,0;0,0;-212,0;-17,0;0,0;0,0;4372,0;-1676,0;-493,0;-3425,0;2,6;-5,1;-2,8;-6,7;-3,3;8,6;15,7;3,4;0,0;17,4;-10,1;0,0;-17,7;-30,4;0,0;0,0;24,4;-13,1;-2,5;-11,4
2005;581416,0;7987,0;6620,0;113437,0;32690,0;21322,0;52338,0;4622,0;210,0;0,0;11761,0;33,0;15886,0;1098,0;59,0;0,0;0,0;36080,0;6913,0;26332,0;13028,0;4339,0;14967,0;550262,0;7645,0;6438,0;110903,0;32408,0;39836,0;4714,0;185,0;0,0;12584,0;12007,0;50,0;983,0;39,0;0,0;0,0;22256,0;11084,0;19449,0;26522,0;31154,0;342,0;182,0;2534,0;282,0;12502,0;-92,0;25,0;0,0;3302,0;-246,0;-17,0;115,0;20,0;0,0;0,0;13824,0;-4171,0;1873,0;-190,0;5,7;4,5;2,8;2,3;0,9;31,4;-2,0;13,5;0,0;26,2;-2,0;-34,0;11,7;51,3;0,0;0,0;62,1;-37,6;9,6;-0,7
2006;609251,0;7649,0;6323,0;124087,0;34324,0;22637,0;64665,0;4566,0;208,0;0,0;11087,0;29,0;18294,0;1063,0;55,0;15598,0;3655,0;46340,0;7962,0;26073,0;18944,0;5459,0;19883,0;581416,0;7987,0;6620,0;113437,0;32690,0;52338,0;4622,0;210,0;0,0;15886,0;11761,0;33,0;1098,0;59,0;0,0;0,0;36080,0;6913,0;21322,0;26332,0;27835,0;-338,0;-297,0;10650,0;1634,0;12327,0;-56,0;-2,0;0,0;2408,0;-674,0;-4,0;-35,0;-4,0;15598,0;3655,0;10260,0;1049,0;1315,0;-259,0;4,8;-4,2;-4,5;9,4;5,0;23,6;-1,2;-1,0;0,0;15,2;-5,7;-12,1;-3,2;-6,8;inf;inf;28,4;15,2;6,2;-1,0
2007;631684,0;7699,0;6133,0;137422,0;31490,0;21668,0;77337,0;4472,0;192,0;0,0;9945,0;32,0;22498,0;1330,0;44,0;17382,0;3527,0;59494,0;7592,0;24452,0;23827,0;6659,0;18269,0;609251,0;7649,0;6323,0;124087,0;34324,0;64665,0;4566,0;208,0;0,0;18294,0;11087,0;29,0;1063,0;55,0;15598,0;3655,0;46340,0;7962,0;22637,0;26073,0;22433,0;50,0;-190,0;13335,0;-2834,0;12672,0;-94,0;-16,0;0,0;4204,0;-1142,0;3,0;267,0;-11,0;1784,0;-128,0;13154,0;-370,0;-969,0;-1621,0;3,7;0,7;-3,0;10,7;-8,3;19,6;-2,1;-7,7;0,0;23,0;-10,3;10,3;25,1;-20,0;11,4;-3,5;28,4;-4,6;-4,3;-6,2
2008;654745,0;7134,0;5717,0;141175,0;27847,0;21628,0;86574,0;3172,0;235,0;0,0;9437,0;26,0;23685,0;1137,0;45,0;17917,0;3324,0;68039,0;8614,0;21060,0;26809,0;7790,0;21226,0;631684,0;7699,0;6133,0;137422,0;31490,0;77337,0;4472,0;192,0;0,0;22498,0;9945,0;32,0;1330,0;44,0;17382,0;3527,0;59494,0;7592,0;21668,0;24452,0;23061,0;-565,0;-416,0;3753,0;-3643,0;9237,0;-1300,0;43,0;0,0;1187,0;-508,0;-6,0;-193,0;1,0;535,0;-203,0;8545,0;1022,0;-40,0;-3392,0;3,7;-7,3;-6,8;2,7;-11,6;11,9;-29,1;22,4;0,0;5,3;-5,1;-18,8;-14,5;2,3;3,1;-5,8;14,4;13,5;-0,2;-13,9
2009;669716,0;7106,0;5793,0;138280,0;25036,0;20342,0;88495,0;2650,0;221,0;0,0;10990,0;31,0;22019,0;1048,0;44,0;21149,0;3896,0;71066,0;8499,0;19913,0;28903,0;8538,0;21803,0;654745,0;7134,0;5717,0;141175,0;27847,0;86574,0;3172,0;235,0;0,0;23685,0;9437,0;26,0;1137,0;45,0;17917,0;3324,0;68039,0;8614,0;21628,0;21060,0;14971,0;-28,0;76,0;-2895,0;-2811,0;1921,0;-522,0;-14,0;0,0;-1666,0;1553,0;5,0;-89,0;-1,0;3232,0;572,0;3027,0;-115,0;-1286,0;-1147,0;2,3;-0,4;1,3;-2,1;-10,1;2,2;-16,5;-6,0;0,0;-7,0;16,5;19,2;-7,8;-2,2;18,0;17,2;4,4;-1,3;-5,9;-5,4
2010;674047,0;5828,0;4767,0;120300,0;20052,0;18752,0;78536,0;2619,0;156,0;0,0;12545,0;20,0;24053,0;855,0;50,0;21986,0;4614,0;63346,0;6988,0;16568,0;31825,0;9840,0;22145,0;669716,0;7106,0;5793,0;138280,0;25036,0;88495,0;2650,0;221,0;0,0;22019,0;10990,0;31,0;1048,0;44,0;21149,0;3896,0;71066,0;8499,0;20342,0;19913,0;4331,0;-1278,0;-1026,0;-17980,0;-4984,0;-9959,0;-31,0;-65,0;0,0;2034,0;1555,0;-11,0;-193,0;6,0;837,0;718,0;-7720,0;-1511,0;-1590,0;-3345,0;0,6;-18,0;-17,7;-13,0;-19,9;-11,3;-1,2;-29,4;0,0;9,2;14,1;-35,5;-18,4;13,6;4,0;18,4;-10,9;-17,8;-7,8;-16,8
2011;696275,0;4960,0;4279,0;106688,0;18773,0;15593,0;66535,0;3073,0;118,0;0,0;15273,0;12,0;29246,0;523,0;40,0;25738,0;5770,0;54678,0;5391,0;16142,0;34069,0;10480,0;21967,0;674047,0;5828,0;4767,0;120300,0;20052,0;78536,0;2619,0;156,0;0,0;24053,0;12545,0;20,0;855,0;50,0;21986,0;4614,0;63346,0;6988,0;18752,0;16568,0;22228,0;-868,0;-488,0;-13612,0;-1279,0;-12001,0;454,0;-38,0;0,0;5193,0;2728,0;-8,0;-332,0;-10,0;3752,0;1156,0;-8668,0;-1597,0;-3159,0;-426,0;3,3;-14,9;-10,2;-11,3;-6,4;-15,3;17,3;-24,4;0,0;21,6;21,7;-40,0;-38,8;-20,0;17,1;25,1;-13,7;-22,9;-16,8;-2,6
2012;718733,0;4666,0;4081,0;103775,0;22065,0;16263,0;58763,0;3656,0;142,0;0,0;18690,0;18,0;33563,0;419,0;24,0;27693,0;7192,0;49560,0;4362,0;17446,0;33869,0;10438,0;19016,0;696275,0;4960,0;4279,0;106688,0;18773,0;66535,0;3073,0;118,0;0,0;29246,0;15273,0;12,0;523,0;40,0;25738,0;5770,0;54678,0;5391,0;15593,0;16142,0;22458,0;-294,0;-198,0;-2913,0;3292,0;-7772,0;583,0;24,0;0,0;4317,0;3417,0;6,0;-104,0;-16,0;1955,0;1422,0;-5118,0;-1029,0;670,0;1304,0;3,2;-5,9;-4,6;-2,7;17,5;-11,7;19,0;20,3;0,0;14,8;22,4;50,0;-19,9;-40,0;7,6;24,6;-9,4;-19,1;4,3;8,1
