ano;total;letalidade_violenta;hom_doloso;População_residente;taxa_total;taxa_letalidade_violenta;taxa_hom_doloso;taxa_letalidade_violenta_100;taxa_hom_doloso_100;taxa_total_ant;taxa_letalidade_violenta_ant;taxa_hom_doloso_ant;taxa_letalidade_violenta_100_ant;taxa_hom_doloso_100_ant;dif_taxa_total;dif_taxa_letalidade_violenta;dif_taxa_hom_doloso;var_taxa_total;var_taxa_letalidade_violenta;var_taxa_hom_doloso
2003;536163,0;8054,0;6624,0;15818316;338,95;5,09;4,19;50,92;41,88;;;;;;;;;;;
2004;550262,0;7645,0;6438,0;15949905;344,99;4,79;4,04;47,93;40,36;338,95;5,09;4,19;50,92;41,88;6,0400000000000205;-0,2999999999999998;-0,15000000000000036;1,78;-5,89;-3,58
2005;581416,0;7987,0;6620,0;16073930;361,71;4,97;4,12;49,69;41,18;344,99;4,79;4,04;47,93;40,36;16,71999999999997;0,17999999999999972;0,08000000000000007;4,85;3,76;1,98
2006;609251,0;7649,0;6323,0;16190233;376,31;4,72;3,91;47,24;39,05;361,71;4,97;4,12;49,69;41,18;14,600000000000023;-0,25;-0,20999999999999996;4,04;-5,03;-5,1
2007;631684,0;7699,0;6133,0;16297848;387,59;4,72;3,76;47,24;37,63;376,31;4,72;3,91;47,24;39,05;11,279999999999973;0,0;-0,15000000000000036;3,0;0,0;-3,84
2008;654745,0;7134,0;5717,0;16398749;399,27;4,35;3,49;43,5;34,86;387,59;4,72;3,76;47,24;37,63;11,680000000000007;-0,3700000000000001;-0,2699999999999996;3,01;-7,84;-7,18
2009;669716,0;7106,0;5793,0;16495668;406,0;4,31;3,51;43,08;35,12;399,27;4,35;3,49;43,5;34,86;6,730000000000018;-0,040000000000000036;0,019999999999999574;1,69;-0,92;0,57
2010;674047,0;5828,0;4767,0;16575147;406,66;3,52;2,88;35,16;28,76;406,0;4,31;3,51;43,08;35,12;0,660000000000025;-0,7899999999999996;-0,6299999999999999;0,16;-18,33;-17,95
2011;696275,0;4960,0;4279,0;16642646;418,37;2,98;2,57;29,8;25,71;406,66;3,52;2,88;35,16;28,76;11,70999999999998;-0,54;-0,31000000000000005;2,88;-15,34;-10,76
2012;718733,0;4666,0;4081,0;16719094;429,89;2,79;2,44;27,91;24,41;418,37;2,98;2,57;29,8;25,71;11,519999999999982;-0,18999999999999995;-0,1299999999999999;2,75;-6,38;-5,06
2013;775129,0;5348,0;4745,0;16800610;461,37;3,18;2,82;31,83;28,24;429,89;2,79;2,44;27,91;24,41;31,480000000000018;0,3900000000000001;0,3799999999999999;7,32;13,98;15,57
2014;818727,0;5719,0;4942,0;16885883;484,86;3,39;2,93;33,87;29,27;461,37;3,18;2,82;31,83;28,24;23,49000000000001;0,20999999999999996;0,11000000000000032;5,09;6,6;3,9
2015;777356,0;5010,0;4200,0;16971856;458,03;2,95;2,47;29,52;24,75;484,86;3,39;2,93;33,87;29,27;-26,83000000000004;-0,43999999999999995;-0,45999999999999996;-5,53;-12,98;-15,7
2016;806042,0;6262,0;5042,0;17043727;472,93;3,67;2,96;36,74;29,58;458,03;2,95;2,47;29,52;24,75;14,900000000000034;0,7199999999999998;0,48999999999999977;3,25;24,41;19,84
2017;750607,0;6749,0;5346,0;17100398;438,94;3,95;3,13;39,47;31,26;472,93;3,67;2,96;36,74;29,58;-33,99000000000001;0,28000000000000025;0,16999999999999993;-7,19;7,63;5,74
2018;770467,0;6714,0;4950,0;17148943;449,28;3,92;2,89;39,15;28,86;438,94;3,95;3,13;39,47;31,26;10,339999999999975;-0,03000000000000025;-0,23999999999999977;2,36;-0,76;-7,67
2019;781522,0;5980,0;4004,0;17193919;454,53;3,48;2,33;34,78;23,29;449,28;3,92;2,89;39,15;28,86;5,25;-0,43999999999999995;-0,56;1,17;-11,22;-19,38
2020;584988,0;4907,0;3544,0;17222305;339,67;2,85;2,06;28,49;20,58;454,53;3,48;2,33;34,78;23,29;-114,85999999999996;-0,6299999999999999;-0,27;-25,27;-18,1;-11,59
2021;620557,0;4762,0;3253,0;17220455;360,36;2,77;1,89;27,65;18,89;339,67;2,85;2,06;28,49;20,58;20,689999999999998;-0,08000000000000007;-0,17000000000000015;6,09;-2,81;-8,25
2022;773895,0;4485,0;3059,0;17211760;449,63;2,61;1,78;26,06;17,77;360,36;2,77;1,89;27,65;18,89;89,26999999999998;-0,16000000000000014;-0,10999999999999988;24,77;-5,78;-5,82
2023;814984,0;4270,0;3293,0;17213813;473,45;2,48;1,91;24,81;19,13;449,63;2,61;1,78;26,06;17,77;23,819999999999993;-0,1299999999999999;0,1299999999999999;5,3;-4,98;7,3
2024;922733,0;3809,0;2908,0;17219679;535,86;2,21;1,69;22,12;16,89;473,45;2,48;1,91;24,81;19,13;62,410000000000025;-0,27;-0,21999999999999997;13,18;-10,89;-11,52
2025;965208,0;3881,0;2836,0;17223547;560,4;2,25;1,65;22,53;16,47;535,86;2,21;1,69;22,12;16,89;24,539999999999964;0,040000000000000036;-0,040000000000000036;4,58;1,81;-2,37
