ano;mcirc;munic;total;letalidade_violenta;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;feminicidio;pol_militares_mortos_serv;pol_civis_mortos_serv;total_roubos;total_furtos;roubo_carga;roubo_veiculo;roubo_rua;roubo_transeunte;roubo_celular;roubo_em_coletivo;estelionato;extorsao;apreensao_drogas;apf;aaapai;pol_mortos_serv;codigo_ibge;municipio;populacao_residente;taxa_total;taxa_letal_violenta;taxa_homicidio;taxa_latrocinio;taxa_lesao_corp_morte;taxa_hom_interv_pol;taxa_total_roubos;taxa_roubo_rua;taxa_roubo_veiculo
2025;330010;Angra dos Reis;7427;38;30;0;0;30;7;1,0;0;0;38;725;0;2;24;14;8;2;1221;22;404;553,0;69,0;0;330010;ANGRA DOS REIS;179142;414,59;2,12;1,67;0,0;0,0;0,39;2,12;1,34;0,11
2025;330020;Araruama;7279;41;34;1;0;35;6;0,0;0;0;217;1040;4;48;109;69;39;1;1176;38;367;445,0;144,0;0;330020;ARARUAMA;137906;527,82;2,97;2,47;0,0;0,07;0,44;15,74;7,9;3,48
2025;330023;Armação dos Búzios;3837;17;15;0;0;15;2;0,0;0;0;60;502;0;6;37;21;14;2;435;14;273;258,0;43,0;0;330023;ARMACAO DOS BUZIOS;42527;902,25;4,0;3,53;0,0;0,0;0,47;14,11;8,7;1,41
2025;330025;Arraial do Cabo;2286;8;6;1;0;7;1;0,0;0;0;17;324;0;4;5;4;1;0;250;13;120;186,0;13,0;0;330025;ARRAIAL DO CABO;32822;696,48;2,44;1,83;0,0;0,3;0,3;5,18;1,52;1,22
2025;330030;Barra do Pirai;4231;16;16;0;0;16;0;0,0;0;0;19;321;0;1;3;3;0;0;292;8;607;330,0;35,0;0;330030;BARRA DO PIRAI;98506;429,52;1,62;1,62;0,0;0,0;0,0;1,93;0,3;0,1
2025;330040;Barra Mansa;6696;67;62;2;0;64;2;1,0;1;1;57;629;2;18;23;10;12;1;1125;14;356;485,0;88,0;2;330040;BARRA MANSA;181679;368,56;3,69;3,41;0,0;0,11;0,11;3,14;1,27;0,99
2025;330045;Belford Roxo;16228;147;114;0;4;118;27;2,0;1;0;3063;1535;91;1094;1644;828;737;79;2211;89;289;872,0;109,0;1;330045;BELFORD ROXO;518384;313,05;2,84;2,2;0,08;0,0;0,52;59,09;31,71;21,1
2025;330050;Bom Jardim;926;4;4;0;0;4;0;0,0;0;0;4;58;0;0;2;1;1;0;108;5;81;63,0;7,0;0;330050;BOM JARDIM;29758;311,18;1,34;1,34;0,0;0,0;0,0;1,34;0,67;0,0
2025;330060;Bom Jesus de Itabapoana;1705;7;7;0;0;7;0;0,0;0;0;6;197;0;1;2;1;1;0;235;1;203;157,0;20,0;0;330060;BOM JESUS DO ITABAPOANA;37176;458,63;1,88;1,88;0,0;0,0;0,0;1,61;0,54;0,27
2025;330070;Cabo Frio;14482;72;63;1;0;64;7;1,0;0;0;336;2340;9;55;192;147;40;5;2492;65;773;794,0;162,0;0;330070;CABO FRIO;238438;607,37;3,02;2,64;0,0;0,04;0,29;14,09;8,05;2,31
2025;330080;Cachoeiras de Macacu;1675;9;9;0;0;9;0;0,0;0;0;30;151;6;6;7;6;1;0;312;6;73;59,0;13,0;0;330080;CACHOEIRAS DE MACACU;59861;279,81;1,5;1,5;0,0;0,0;0,0;5,01;1,17;1,0
2025;330090;Cambuci;566;4;3;0;0;3;0;1,0;0;0;1;65;0;0;0;0;0;0;60;2;73;36,0;0,0;0;330090;CAMBUCI;15069;375,61;2,65;1,99;0,0;0,0;0,0;0,66;0,0;0,0
2025;330100;Campos dos Goytacazes;20599;109;100;1;5;106;1;2,0;0;0;655;2802;9;80;402;245;157;0;3277;90;2085;1786,0;216,0;0;330100;CAMPOS DOS GOYTACAZES;519259;396,7;2,1;1,93;0,1;0,02;0,02;12,61;7,74;1,54
2025;330110;Cantagalo;804;1;1;0;0;1;0;0,0;0;0;3;66;0;0;0;0;0;0;102;2;46;50,0;3,0;0;330110;CANTAGALO;19995;402,1;0,5;0,5;0,0;0,0;0,0;1,5;0,0;0,0
