ano|risp|risp_desc|cisp|mcirc|municipio|letalidade_violenta|hom_doloso|latrocinio|hom_por_interv_policial|lesao_corp_morte|pol_mortos_serv|total_roubos|roubo_veiculo|furto_veiculos|roubo_rua|roubo_carga|roubo_transeunte|roubo_celular|roubo_em_coletivo|estelionato|extorsao|apreensao_drogas|apf|aaapai|furto_transeunte|furto_coletivo|furto_celular
2025|1|Capital (Zona Sul, Centro e parte da Norte)|1|3304557|Rio de Janeiro|3|3|0|0|0|0|1262|16|20|1171|16|704|417|50|1321|26|42|414,0|40,0|1291|350|1825
2025|1|Capital (Zona Sul, Centro e parte da Norte)|4|3304557|Rio de Janeiro|10|5|0|1|3|1|841|29|94|711|11|343|307|61|503|14|130|368,0|61,0|502|244|1387
2025|1|Capital (Zona Sul, Centro e parte da Norte)|5|3304557|Rio de Janeiro|13|8|1|2|1|0|2231|54|149|1974|12|1085|852|37|1941|35|143|519,0|129,0|923|114|3552
2025|1|Capital (Zona Sul, Centro e parte da Norte)|6|3304557|Rio de Janeiro|9|8|1|0|0|0|838|151|119|566|14|260|199|107|557|30|42|199,0|45,0|216|193|934
2025|1|Capital (Zona Sul, Centro e parte da Norte)|7|3304557|Rio de Janeiro|4|0|0|1|1|0|369|25|109|298|2|181|103|14|423|13|47|82,0|5,0|74|17|212
2025|1|Capital (Zona Sul, Centro e parte da Norte)|9|3304557|Rio de Janeiro|9|5|1|2|0|0|1862|107|225|1575|4|847|670|58|1892|48|49|320,0|102,0|991|214|2500
2025|1|Capital (Zona Sul, Centro e parte da Norte)|10|3304557|Rio de Janeiro|9|4|0|4|1|0|1581|93|179|1184|6|532|602|50|1554|67|86|312,0|98,0|271|339|1613
2025|1|Capital (Zona Sul, Centro e parte da Norte)|11|3304557|Rio de Janeiro|5|5|0|0|0|0|8|1|12|4|0|1|2|1|210|10|16|14,0|0,0|12|7|42
2025|1|Capital (Zona Sul, Centro e parte da Norte)|12|3304557|Rio de Janeiro|10|3|0|7|0|1|474|5|153|365|3|191|157|17|2905|67|81|380,0|76,0|775|119|2061
2025|1|Capital (Zona Sul, Centro e parte da Norte)|13|3304557|Rio de Janeiro|3|1|2|0|0|0|305|2|96|222|5|142|76|4|1085|25|32|200,0|34,0|429|47|920
2025|1|Capital (Zona Sul, Centro e parte da Norte)|14|3304557|Rio de Janeiro|5|3|0|1|1|0|648|13|276|520|3|223|287|10|2386|55|66|398,0|79,0|638|61|2579
2025|1|Capital (Zona Sul, Centro e parte da Norte)|15|3304557|Rio de Janeiro|1|0|0|1|0|0|443|29|92|288|0|136|142|10|1624|32|60|210,0|28,0|183|189|701
2025|1|Capital (Zona Sul, Centro e parte da Norte)|17|3304557|Rio de Janeiro|17|10|3|3|1|1|1432|222|207|872|45|332|428|112|1140|26|91|333,0|38,0|267|165|1250
2025|1|Capital (Zona Sul, Centro e parte da Norte)|18|3304557|Rio de Janeiro|13|3|2|3|2|0|2507|253|129|1980|6|661|1131|188|1046|32|54|301,0|52,0|480|282|2561
2025|1|Capital (Zona Sul, Centro e parte da Norte)|19|3304557|Rio de Janeiro|7|6|0|0|0|0|1836|225|113|1277|9|652|558|67|2049|79|47|385,0|64,0|388|369|867
